number,address,balance,perct_coins,first_in,last_in,ins,first_out,last_out,outs
83,1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,"10,000 BTC ($490,444,841)",0.05%,2011-05-04 3:14:27,2021-07-26 21:24:20,48,,,
84,12tLs9c9RsALt4ockxa1hB4iTCTSmxj2me,"10,000 BTC ($490,444,783)",0.05%,2011-04-02 23:08:32,2021-03-12 7:34:53,49,,,
85,1ucXXZQSEf4zny2HRwAQKtVpkLPTUKRtt,"10,000 BTC ($490,444,732)",0.05%,2011-05-04 4:01:23,2020-08-19 2:16:08,36,,,
86,1CPaziTqeEixPoSFtJxu74uDGbpEAotZom,"10,000 BTC ($490,444,732)",0.05%,2011-05-04 3:28:05,2020-09-26 23:05:41,36,,,
87,"1LfV1tSt3KNyHpFJnAzrqsLFdeD2EvU1MK
wallet: 33664448","10,000 BTC ($490,444,425)",0.05%,2014-02-05 18:33:30,2021-12-24 3:12:04,70,2017-09-22 18:59:21,2018-04-19 14:34:31,13
88,"3DwVjwVeJa9Z5Pu15WHNfKcDxY5tFUGfdx
wallet: OKEX-coldwallet","10,000 BTC ($490,444,239)",0.05%,2020-02-29 17:49:31,2021-05-30 0:45:29,28,2020-03-03 2:24:34,2020-12-22 23:08:08,3
89,1EU2pMence1UfifCco2UHJCdoqorAtpT7,"10,000 BTC ($490,444,210)",0.05%,2018-05-29 23:32:08,2021-06-01 0:16:58,26,,,
90,bc1qlkdlchlylfdkspvevnlqqlmt4l222hwva2z3n7,"9,906 BTC ($485,832,648)",0.05%,2021-07-29 19:26:47,2021-07-29 19:26:47,1,,,
91,bc1qg6kqkkaexnxpvle8w3zy5j7w4k9uz5rqmrx5lw,"9,905 BTC ($485,783,277)",0.05%,2021-07-29 19:26:47,2021-07-29 19:26:47,1,,,
92,bc1qqdykm85ycxjqjh5hrkwmewts02mm6ku5rlck3m,"9,904 BTC ($485,752,692)",0.05%,2021-07-29 21:42:19,2021-07-29 21:42:19,1,,,
93,bc1qgc5h9vz0zp4cmlxuw0h6jgryetq08e4twen03f,"9,903 BTC ($485,709,419)",0.05%,2021-07-29 21:29:09,2021-07-29 21:29:09,1,,,
94,bc1qxv55wuzz4qsfgss3uq2zwg5y88d7qv5hg67d2d,"9,901 BTC ($485,606,424)",0.05%,2021-07-29 19:26:47,2021-07-29 19:26:47,1,,,
95,1Cus9pZdkckCz23bDAsKMY6aLSQ7CmuHyw,"9,901 BTC ($485,582,501)",0.05%,2018-12-04 3:28:38,2021-07-21 19:06:18,98,,,
96,1MLsZmbT3mgmm6zLkTR26yJHVfn8BSdqqd,"9,901 BTC ($485,582,501)",0.05%,2018-12-04 3:28:38,2021-07-21 19:06:18,96,,,
97,bc1qmjpguunz9lc7h6zf533wtjc70ync94ptnrjqmk,"9,901 BTC ($485,571,270)",0.05%,2021-07-29 21:29:09,2021-07-29 21:29:09,1,,,
98,bc1qyr9dsfyst3epqycghpxshfmgy8qfzadfhp8suk,"9,900 BTC ($485,561,943)",0.05%,2021-07-29 21:29:09,2021-07-29 21:29:09,1,,,
99,bc1q8qg2eazryu9as20k3hveuvz43thp200g7nw7qy,"9,900 BTC ($485,544,608)",0.05%,2021-07-29 21:29:09,2021-07-29 21:29:09,1,,,
100,bc1q4ffskt6879l4ewffrrflpykvphshl9la4q037h,"9,895 BTC ($485,312,698)",0.05%,2021-07-29 22:31:26,2021-07-29 22:31:26,1,,,
101,134ooU6EQmCFFzEPN7yga3S1XikcBtynco,"9,867 BTC ($483,906,718)",0.05%,2018-12-04 19:15:05,2021-07-21 20:47:07,95,,,
102,16BBBjvAArL3zdb1Fh1isr2w2hX7K1K4Gm,"9,867 BTC ($483,906,718)",0.05%,2018-12-04 19:15:05,2021-07-21 20:47:07,94,,,
103,1Jc7vYQHCnmdyhbpcv5o3pYtUbH6Sk139z,"9,843 BTC ($482,747,709)",0.05%,2018-12-04 3:28:38,2021-07-21 19:06:18,100,,,
104,3265tcUcp8dBhBBwp4rKN3iyUptuHkzMq7,"9,759 BTC ($478,603,044)",0.05%,2021-01-02 11:05:12,2021-10-01 6:20:42,22,2021-01-02 11:18:59,2021-01-02 11:18:59,1
105,17rVQwoL5v18KfoQJNMMoMBm3rDjodxw1m,"9,740 BTC ($477,681,076)",0.05%,2018-12-04 19:15:05,2021-07-21 20:47:07,92,,,
106,1MYv4C4hZ7hC5sbHrPkzvmNoozQgnHKeAU,"9,681 BTC ($474,788,311)",0.05%,2018-12-04 20:03:14,2021-07-19 13:38:04,96,,,
107,18Ayw3caz2xGDhTfz1nJxLw1NURPtBNJnn,"9,661 BTC ($473,826,749)",0.05%,2018-12-04 20:03:14,2021-07-17 6:07:05,91,,,
108,1Kphp4WNPLpScp5T5f63jnVS9ohK6a86g7,"9,661 BTC ($473,826,749)",0.05%,2018-12-04 19:15:05,2021-07-17 5:46:44,90,,,
109,1D3AHKaQbtPLVwYB1L9ATAPXo14xVA2Hjc,"9,661 BTC ($473,826,749)",0.05%,2018-12-04 19:00:45,2021-07-17 5:46:44,92,,,
110,1BMi633XQ8jt45Tb5EvZ4xdZHb2GzxKSfb,"9,661 BTC ($473,826,749)",0.05%,2018-12-04 20:03:14,2021-07-17 6:07:05,91,,,
111,1Gjkd1hwrJxM9h5Sj1W5bfEN6km1qkVCg4,"9,661 BTC ($473,826,749)",0.05%,2018-12-04 19:15:05,2021-07-17 6:07:05,93,,,
112,13jh1fCa6pCFTcCH1H6MXDWLa9zajtniMT,"9,661 BTC ($473,826,749)",0.05%,2018-12-04 19:00:45,2021-07-17 5:46:44,90,,,
113,19om4Guv9QmVesS7AewMUyE5JUJ9H7xwNN,"9,661 BTC ($473,826,749)",0.05%,2018-12-04 20:00:39,2021-07-17 6:07:05,92,,,
114,1J2zKTQnSrLJMXZTnA3a5ky1W2L3PJhagC,"9,661 BTC ($473,826,749)",0.05%,2018-12-04 19:00:45,2021-07-17 6:07:05,91,,,
115,bc1qsm3kjcmp63jsuyrqh58kc6k4ydpactjy6r7a6f,"9,631 BTC ($472,368,661)",0.05%,2021-07-29 21:42:19,2021-07-29 21:42:19,1,,,
116,1Djs2VyBVr6MYNcGVaHAr8B3N1mViS5yoo,"9,612 BTC ($471,406,068)",0.05%,2018-12-04 20:03:14,2021-07-22 12:06:51,91,,,
117,18saWjMCchDTGWunefuDJSWNdz4p6KtfBL,"9,546 BTC ($468,181,825)",0.05%,2018-12-04 20:03:14,2021-07-22 20:41:50,93,,,
118,bc1qajh7jfy44sswutqlwj2tz9wcejpxrgflc8penw,"9,500 BTC ($465,921,973)",0.05%,2020-12-28 20:57:01,2021-06-25 4:29:38,10,,,
119,1P9fAFAsSLRmMu2P7wZ5CXDPRfLSWTy9N8,"9,425 BTC ($462,233,015)",0.05%,2017-10-16 0:32:51,2021-06-01 0:16:58,32,,,
,,,,,,,,,
120,1HLvaTs3zR3oev9ya7Pzp3GB9Gqfg6XYJT,"9,260 BTC ($454,152,155)",0.05%,2010-03-18 14:37:36,2021-06-01 0:16:58,83,,,
121,1PL2cmmMLmGGDtqaSZJY8DR1iKJaziEPJv,"9,217 BTC ($452,066,821)",0.05%,2018-12-04 20:03:14,2021-07-24 10:25:13,81,,,
122,"36NkTqCAApfRJBKicQaqrdKs29g6hyE4LS
wallet: OKEX-coldwallet","9,119 BTC ($447,258,385)",0.05%,2021-03-11 1:46:25,2021-12-25 17:52:45,167,2021-03-29 23:16:19,2021-12-21 23:38:58,45
123,bc1qh4cpaydaqlzez8ekkasm3ygj4us7gwxsghh047,"9,112 BTC ($446,888,156)",0.05%,2020-12-28 20:43:53,2021-07-11 19:32:53,12,,,
124,bc1q78wmm8xnhveklsparpeq6drlg9wlq4lyahkqfp,"9,099 BTC ($446,255,159)",0.05%,2020-12-28 20:43:53,2021-06-23 9:14:31,9,,,
125,1Cr7EjvS8C7gfarREHCvFhd9gT3r46pfLb,"9,050 BTC ($443,843,832)",0.05%,2018-01-07 13:57:49,2021-06-13 10:32:25,63,2019-10-11 10:09:16,2021-01-09 13:48:33,6
126,13nwifHUz5ZfHuQhk5ETJ4BhmqbuQdvTFp,"9,025 BTC ($442,624,983)",0.05%,2018-12-04 20:00:39,2021-07-25 0:27:06,84,,,
127,"1J1F3U7gHrCjsEsRimDJ3oYBiV24wA8FuV
wallet: F2Pool","9,000 BTC ($441,399,805)",0.05%,2011-05-28 4:38:12,2021-12-09 1:28:03,2433,2011-05-28 4:54:48,2021-12-09 1:28:03,2432
128,167ZWTT8n6s4ya8cGjqNNQjDwDGY31vmHg,"8,999 BTC ($441,351,058)",0.05%,2010-08-09 23:35:11,2021-06-25 4:29:38,42,,,
